Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
203.1634,6.51,32650,13407,263263,34095,299860,267740
684.4275,7.09,357760,436542,404939,295798,385299,405530
704.6206,1.78,1,1096438,1059646,4099920,4038796,3825650
514.1269,1.22,9182,3525,717661,4788,690236,525907
760.6438,1.76,1,1,1,678259,645970,689687
354.2959,2.12,1296548,1321472,1272577,955184,1021810,1388530
791.5459,1.77,1461793,937362,850613,598075,525148,619455
259.1784,5.66,494619,453791,408253,135761,106494,54921
197.0897,5.58,288933,191504,322798,307521,290949,381989
708.5864,1.9,1,1,1,494648,579726,541048
403.1543,8.99,1,1,1,355931,516942,245109
137.931,6.8,346398,309711,288409,202831,415767,212849
155.0697,8.61,1293426,261872,1093643,132388,985202,612924
315.9131,6.8,423634,417146,398792,245065,499751,244217
524.2746,1.22,1,4303,579626,2845,574034,502286
863.6372,1.75,796078,775895,664811,429089,429818,455729
701.2057,1.18,33532,59858,68498,67397,72410,59841
85.0244,8.38,247931,248416,214217,272094,274046,263917
714.6112,1.78,1,44792,1,953793,928918,945512
387.2467,1.78,1,1,1,1,1,1
698.5359,1.77,1,42770,1,875591,751356,857297
574.4846,6.8,600655,602453,588775,453103,642644,491762
663.1094,8.73,3161597,3175484,2951087,302140,355174,263401
206.1631,6.85,353932,382515,365598,392724,371199,378434
208.0656,7.18,255414,178311,317241,257596,1,1
691.5142,1.77,712674,767198,702325,598205,473169,590951
533.2841,1.23,7136,1,552617,1,535175,471431
602.5165,6.8,587024,580394,601731,462415,649468,476031
507.5739,1.6,611316,528319,451927,294618,436295,225983
828.6667,1.78,29720,93082,62506,745412,667142,811673
297.3394,1.74,100637,169896,163674,161550,190150,176596
159.1257,7.71,373047,384401,360890,241054,260826,153641
483.2481,1.22,13267,1,607385,5116,549286,467848
718.0604,7.14,569400,553584,570836,548577,406918,453423
318.166,7.97,1,1468,1,259706,342747,187785
624.5099,5.62,636174,619441,570679,112091,128958,109189
362.1555,1.74,1,1,4333,1,1,850
700.5524,1.79,671237,680732,587647,1105501,1132339,1077940
131.0695,7.87,243383,434081,352193,1,36952,107636
884.0025,7.16,472163,527448,515416,609501,727556,707193
801.998,7.16,531376,429276,468697,422403,603158,600724
307.0794,9.55,253518,200382,227369,474583,762544,478548
318.1292,6.46,38626,28114,18449,27286,175111,13902
411.3457,2.12,147930,362307,292603,218344,263168,339549
832.6825,1.78,6778,27346,22719,560679,547252,530251
602.5265,5.73,544931,542624,552584,62967,65350,70853
819.5813,1.76,1180970,1246899,1183182,1167966,1013571,1124909
712.5996,3.2,1,1,1,958279,1313815,1109319
555.9862,7.1,406595,389318,428161,411046,405304,425751
587.4396,1.47,564610,554564,620856,503860,640970,386271
337.9605,9.67,591205,412229,341154,560303,159419,596817
373.931,9.66,1130262,356303,1058494,1032224,931072,356838
129.0426,8.38,364650,375639,321134,173488,209740,70907
586.5414,7.18,970404,540206,1585235,130025,1027998,830819
1047.7663,1.25,454069,230782,380849,206326,91029,133193
689.4987,2.37,588560,678597,703398,223785,224829,145126
354.2004,1.72,2196,1,1,1,1,1
453.366,1.49,432945,534401,416876,440018,25902,183186
85.0889,6.56,197030,214758,250249,176326,245353,142215
85.0891,6.73,217008,236946,252836,166134,231442,113783
