Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
265.2255,1.74,19368,23128,17099,17384,17726
265.8423,0.34,4775,5790,6073,5874,6081
266.0362,1.37,4664,4888,5110,4268,4856
266.1023,1.31,15080,12980,15080,14302,12783
266.1642,1.81,18769,19009,21475,21475,17124
266.1727,1.32,31837,26857,25963,26945,26868
266.1887,1.63,14333,5763,35629,6411,23118
267.1325,0.5,20574,17681,17929,18837,18226
267.1472,1.28,13520,9479,12154,11692,11102
267.2048,1.4,8086,8265,31311,7470,7326
267.2049,1.49,30569,19796,32296,17449,16255
267.2924,1.64,7461,6493,6842,4811,5953
267.8391,0.34,1810,2180,1839,2348,2042
268.0807,0.52,15407,13599,14789,15369,17161
268.1444,1.61,104886,95124,90011,92146,88994
268.1675,1.73,15938,13594,8249,9051,59668
268.1678,1.64,66293,72430,85186,65429,60904
268.2039,1.59,9883,22443,19120,86799,64435
268.2045,1.72,24447,51079,29890,73584,68743
269.0348,0.55,5832,4609,5690,6901,6874
269.1478,1.27,14160,14954,15823,17583,13669
269.1837,1.31,10506,20506,14878,16143,17274
269.2718,2.28,26207,18057,11768,12447,9022
269.3086,1.67,29092,35062,24910,25307,26642
270.1414,1.6,33202,40770,34620,29950,35620
271.1905,0.36,2612,3991,3739,3621,2713
271.9365,0.31,4556,4533,4565,3308,6082
272.1607,1.41,722902,516436,125345,149640,520649
273.1943,1.68,53672,37420,31581,9207,27845
273.2661,1.49,250273,124360,301527,157335,246354
274.0014,0.48,12210,13987,15331,15300,15012
274.1642,1.31,17623,33391,29212,26514,25256
274.1655,1.4,12784,9206,11052,12534,13837
275.1285,1.25,3823,5236,5567,11786,10303
275.8714,0.33,6007,6450,5373,6436,6085
276.0891,1.33,6528,8734,10251,14190,12942
276.121,1.56,18400,12302,10128,16929,14230
276.1947,1.64,20866,24274,62556,59393,62665
276.2293,1.8,59830,36950,53237,35805,35190
278.0867,1.59,8662,25029,27430,31790,28500
278.1519,1.88,80988,68451,59115,50011,38841
278.2103,1.57,170106,163880,145218,138343,166964
278.2245,2.96,13289,87932,169456,114083,31513
278.2268,1.63,32572,40037,32191,43392,48379
279.0851,0.32,18059,17273,15980,15221,13768
279.1318,0.48,14424,15656,12518,19676,14521
279.1686,1.5,22883,22526,44139,22022,21569
279.205,1.53,20379,20645,20652,31068,22066
279.2051,1.63,3929,65517,74550,113610,67793
279.242,1.73,26239,18717,20238,25747,23383
279.8186,0.34,1566,1604,2069,1158,1633
279.9087,0.29,24475,27804,25163,22939,21935
280.2404,2.97,285299,74587,56783,12907,28992
280.2405,2.45,29030,26253,34716,17611,12472
280.2405,2.38,31475,17800,32784,2593,21276
281.1838,1.47,237979,201662,193068,164412,185062
281.1843,1.39,19865,13056,10133,11150,10914
281.1844,1.5,237979,201517,69535,43252,60736
281.2204,1.5,140783,135354,131148,124911,120412
282.1686,1.28,33773,41503,42166,33004,42626
282.2196,1.75,1576,18329,11676,13719,1912
283.121,1.69,6660,6654,7943,4010,6340
283.1555,1.63,18620,20343,17269,14195,12172
283.1636,1.32,32569,28011,24589,33693,33565
283.1997,1.33,16704,11300,12245,13698,9837
283.2874,2.67,8099,9734,14555,7140,12600
283.3239,1.7,37059,44368,39912,29943,32208
285.0902,0.48,4421,3699,4278,3987,4356
285.1368,1.65,301813,274281,257618,229455,215138
285.1508,0.48,6264,7136,6305,6550,5666
285.1709,1.6,129428,124610,122625,116825,116001
285.1937,1.72,29412,29688,29909,25343,27404
285.1937,1.37,88890,70368,65904,67883,69459
285.1946,1.64,93264,78627,78574,75899,79182
285.2225,2.23,6572,10376,6690,1849,
285.2307,1.76,22182,21939,18652,27522,24526
285.3031,1.61,37268,30033,32625,35613,35194
286.063,0.31,2912,2460,3130,2467,2706
286.0739,1.31,36190,36373,30710,35939,37573
286.9724,0.49,5456,5221,7239,6678,8059
287.1681,1.6,56651,51475,49889,47329,45096
287.2108,1.4,76932,58196,56990,52926,44679
287.2459,1.5,49722,46048,42147,43589,38075
287.2466,1.7,175250,145054,127812,107189,80285
288.1937,1.47,14076,12212,20461,15219,10707
288.2321,1.75,35682,28211,3640,5701,
289.2614,1.49,5496,4954,4296,7192,5751
290.2466,1.88,69763,55829,58195,45077,43704
291.1036,0.48,3519,4149,4148,3647,3407
291.2775,2.1,12264,11903,10213,7232,4322
292.061,1.33,5346,7229,8202,9797,9394
292.1887,1.52,285105,294413,285285,279036,273140
292.1901,1.39,29812,4871,13664,17409,4891
292.2255,1.65,307531,286036,287935,287326,284093
293.105,1.64,15302,10571,11256,7443,10917
293.1473,0.54,56521,56565,58782,58475,59141
293.2214,1.65,143701,116980,11807,96957,78452
293.2564,1.8,66665,64440,59348,56958,52099
293.2568,1.92,15564,16474,8192,11045,4872
293.2669,2.14,,6866,,,
293.9318,0.31,44646,42884,44797,43744,44824
294.1215,1.29,5288,5765,6757,5006,7516
294.204,1.4,41559,33219,28123,30005,32032
294.2046,1.52,47111,42156,46835,37576,35549
294.2195,1.81,34589,27684,26466,21116,15951
295.163,1.59,30229,24751,21721,34064,22780
295.1998,1.5,36779,31059,23431,23599,34982
295.2366,1.57,138460,130067,137513,126022,128015
295.2377,1.63,107266,225322,96389,88198,97936
295.2878,2.35,38711,32984,28361,17447,15543
296.1621,1.63,17535,5734,7204,8329,13518
297.1781,1.33,8308,6052,5157,4920,7126
297.2153,1.36,10217,9741,10787,7632,6961
297.2666,1.53,5345,3797,2925,4648,4575
297.3393,1.76,45325,32926,32386,26603,31680
297.3396,1.62,3267,2358,32513,2181,2147
298.2507,2.97,33761,141313,58325,83995,63071
298.2508,3.2,41046,152068,153079,126307,33433
298.2509,2.43,34043,30223,42338,61216,9124
298.2509,2.42,18009,82531,53926,61232,19419
298.2509,3.28,235068,156626,48575,59789,29751
299.1946,1.28,149812,84198,117062,147153,145570
299.2821,1.56,16919,16257,8003,11444,26072
299.2825,2.09,10002,7251,6751,4876,3668
299.8495,0.34,7098,6391,6717,6804,5844
300.1115,1.43,6325,7183,9477,7462,9333
300.1647,0.54,38485,36309,38997,40806,36004
301.1989,0.31,4234,,5337,6192,5520
301.2081,1.49,5000,6979,6669,7677,6115
301.2253,1.42,6114,5595,5070,4768,3050
301.2982,1.55,86195,92986,94628,91538,93799
302.0248,0.48,7754,7067,7563,6417,7902
302.2246,1.82,26696,27870,29001,9694,15723
303.1475,1.36,15478,18932,22584,8503,12984
303.2048,1.34,10479,12088,11966,11265,15580
303.2054,1.69,24545,14030,44735,10073,22795
303.2926,1.59,21167,19147,16298,17687,19138
304.0148,1.26,13971,12220,12330,11403,11488
304.0969,1.4,5893,7434,8937,9973,11345
304.1885,1.44,17051,13043,10369,10015,18919
304.1892,1.58,54736,49044,38130,43611,52329
304.2618,1.98,12162,18622,11692,11455,10152
304.2622,1.92,18369,22445,20486,10661,9143
305.2562,1.83,48098,43976,41289,41948,42322
306.1675,1.51,15241,16151,18418,39053,30094
306.2041,1.47,71140,57112,60524,68942,96839
306.2042,1.59,49638,33284,32750,45235,42541
306.2049,1.54,65162,36755,17073,19087,54076
306.2406,1.72,36577,46123,51171,43393,33852
307.2724,1.88,140060,124566,117713,104475,75425
307.2739,1.83,190429,38025,30347,17889,25966
307.8713,0.39,5967,5685,5738,6013,4452
308.22,1.45,6696391,6008638,5545970,5443263,5244048
309.2158,1.52,201543,201070,182247,198857,188637
309.2522,1.7,6392,9915,41567,51263,49076
309.2529,1.65,304329,314517,315770,289872,291724
309.3031,2.58,19686,19969,12288,6507,22984
309.3034,2.75,8618,12417,4229,4782,22984
309.9058,0.32,9130,8024,8468,8446,9169
310.1203,1.64,9853,8483,8672,9312,12193
310.1783,1.65,54926,71007,58797,44512,30408
310.1988,1.35,21269,29974,20464,22522,20048
