Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
374.0526,1.24,159755,97260,157503,295967,262263,256598
167.9826,8.6,62890,73786,110099,59110,74544,134020
303.1625,7.08,164864,146616,150443,108664,123680,65335
834.6475,1.73,4901,7533,6051,286626,272878,270601
436.9648,1.25,35463,39759,58629,63405,61549,65024
593.0782,9.53,1,1,1,146204,191447,96966
154.0077,8.17,134250,108770,119933,119063,117149,84596
891.5746,1.75,40804,37360,39613,301884,273825,273469
448.0643,1.23,184001,126418,196853,305385,240377,292730
747.5611,1.73,46888,1,1,225804,232936,231671
861.5425,1.76,289613,314349,243494,54467,46137,50669
828.6265,1.73,1,4111,1,338945,351363,337252
538.0238,7.12,404106,418579,423811,120525,234199,241760
811.5352,1.74,200130,216095,180171,90336,98336,80935
1842.1023,7.14,400304,405852,413419,434094,629771,587576
273.1053,6.19,111304,65774,152935,267735,205563,238306
429.8443,1.44,24229,5809,3091,2733,7348,250648
62.0275,7.09,191012,184636,32987,53150,72756,181439
779.5683,1.73,1,1,18892,201731,221842,211361
629.0633,8.9,191604,187417,178392,10678,3179,8393
888.5699,5.63,759508,812412,747713,1,1,1
594.0273,7.12,89518,104057,64313,93362,79037,89105
871.6122,1.73,1,1,1,1,120055,125384
154.0492,5.46,90882,10556,35310,71167,42887,32995
216.0399,7.44,174769,142602,111818,1,1,1
899.6003,1.73,1,21264,1,319888,283382,300937
118.0266,6.85,103508,104219,109902,68254,61707,49382
243.0872,7.98,150239,151022,142098,89028,106021,69835
837.5523,5.46,484722,392653,375421,228652,227553,275635
1003.0643,7.14,418284,411358,430665,459874,647070,612159
310.1807,1.3,8320,2771,6274,10780,16923,7774
298.1601,1.4,82016,26095,55141,63691,101100,50615
1024.0887,7.14,182181,183478,188868,183865,161637,180058
801.5855,1.72,1,2501,1,188337,191344,198491
788.6264,1.73,1,1,455154,1,1,1
910.5575,1.75,273629,268470,286157,72644,71179,74913
702.03,7.12,418427,440438,411330,428477,205897,479244
378.0923,8.3,62312,59361,48126,67072,52657,66815
119.0485,7.05,66127,74121,83066,44899,105793,40660
882.5253,5.66,241272,262534,251998,31458,21113,26656
290.0946,7.3,38571,50451,73350,60386,1,9329
202.0787,8.22,5814,4236,1426,136360,132567,69991
561.8818,1.44,84029,308516,28465,40759,65960,37056
839.5632,1.74,192729,190971,199619,1,1,1
1085.0565,7.14,413167,435014,453887,480678,739278,681150
314.1198,7.96,316279,337642,353131,294139,350581,272785
367.0565,1.1,32786,1,1,1,1,1
756.5891,1.73,4434,3465,3740,237827,242280,249127
600.536,5.42,136363,138004,262257,226575,283155,276075
242.064,1.28,13114,17237,22865,81840,56894,65109
180.0631,6.83,32580,64385,78867,69361,57778,117062
105.07,8.39,66946,65755,71103,71376,60163,74013
440.0933,8.52,156587,3410,121360,200158,194749,201706
813.5505,1.74,280317,273543,263173,157390,116127,137249
766.5858,1.73,1,1,1,243283,239110,222608
620.0262,7.12,414599,414958,424612,438564,260642,313214
169.0502,8.69,36371,89656,45905,91216,110187,10721
167.0246,5.54,199057,215948,209993,4092,1,5663
866.5093,1.43,219836,234714,227545,120951,119489,115686
301.0559,8.5,108101,117815,105173,25930,18193,16953
204.0901,6.54,119803,125048,106625,52463,109512,48438
774.5754,1.73,1,1,1,1,1,1
316.0825,1.24,30644,27292,32060,154978,90641,101584
866.036,7.14,170790,166945,176710,182540,139556,67218
805.5835,1.73,168648,169833,162035,1,1,1
160.0386,6.81,24307,13190,66348,60686,17578,1
92.0293,1.25,7152,3736,6596,25909,14973,22130
240.0847,8.32,1,1,2797,1,1,1
914.586,5.63,267286,283945,272640,1,42622,1
196.0585,8.97,1,1,1,45131,65457,48292
217.936,8.49,36552,35623,61170,63759,68890,71064
847.5773,5.77,1682,1092,328,121276,230228,165136
246.1048,7.04,167024,62700,114759,134624,152165,123720
861.618,5.73,576972,605410,639370,156470,204488,179003
199.0824,7.09,106170,117151,124025,89820,108886,61997
814.644,1.74,157584,139280,127897,1,1,1
728.5628,1.73,1,8409,7925,184436,168153,170404
758.5973,1.73,1,1,1,184150,198691,210979
917.3776,7.98,133190,141219,138349,81302,97016,44942
371.024,7.18,139742,147347,146499,92669,131770,65278
513.8295,8.46,3875,10627,19410,24898,118365,186895
366.274,1.29,87059,79887,76254,72143,114983,80352
415.1096,8.57,69221,41195,98822,77424,73880,44149
858.5305,1.77,271047,243967,106408,60299,51904,52704
453.027,7.18,150618,157435,139816,88628,144254,65129
196.0584,8.8,62865,1,1,1,89471,148758
774.5647,1.73,1,1,1,248787,254045,257963
166.0478,7.83,128821,118644,122853,7482,13350,10628
825.5506,1.73,1,37106,1,149771,155658,154437
136.0374,7.69,74402,70340,111459,15097,4988,1
133.0377,8.74,220186,340577,37497,61465,53073,2825
821.6431,5.85,85275,115200,114001,45191,179936,171599
894.5833,1.73,61820,51239,44853,185776,218499,183718
406.0798,8.45,1,1,1,197316,184890,138493
211.9382,5.64,111404,92397,121052,108940,99953,118473
720.4925,1.73,136615,135689,130984,27509,26634,27563
811.5336,5.52,300368,391872,386665,222277,88126,124220
293.0236,7.76,133736,128550,102269,79975,64999,37389
620.027,7.11,349051,354573,355212,174375,238601,224123
151.0644,8.39,1,1,1,113607,103614,69059
409.0742,8.41,17697,17160,1,87811,102973,75892
901.6041,1.74,13748,15036,53163,262708,202985,225635
337.9781,6.82,133744,132894,130899,92743,158150,93465
802.6079,1.73,1,2512,1,188127,191344,198491
452.1335,8.41,96934,94965,90277,108120,15716,107241
768.592,1.72,1,1,1,191970,181018,185583
616.1634,9.56,3659,1,1,166085,208274,154650
149.0512,6.89,75528,88081,61872,68553,89627,44436
427.0435,8.4,152258,164728,182063,169098,178069,138626
772.5648,1.73,1,1,1,283364,286185,291433
266.0551,5.28,1,4254,61627,1,1,1
888.5575,5.63,132663,674709,635609,521466,382828,509171
89.0476,7.68,77718,86998,76535,74488,95915,44240
864.5696,1.77,375213,382265,368778,1,1,1
122.0368,1.99,238565,191469,7644,403686,151792,79708
759.5859,1.73,89373,53748,81613,161557,1,162430
434.0742,1.25,16394,13673,22613,52791,49277,44787
824.6133,1.73,12712,14116,15325,221321,243217,216156
882.5263,1.76,237188,271197,222473,29025,23689,24458
302.0585,1.71,45037,27720,42179,26616,50061,57000
869.6127,1.72,1,1,1,160399,161900,140261
