Mass,RT,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3,SXT-col-7d+13c6-phe-1,SXT-col-7d+13c6-phe-2,SXT-col-7d+13c6-phe-3,SXT-col-2d+13c6-phe-1,SXT-col-2d+13c6-phe-2,SXT-col-2d+13c6-phe-3
129.0426,1.24,2724379.121,1116335.478,1961315.694,531690.1408,565127.2984,546627.443,572456.2888,372222.7149,409788.3876
466.0794,14.35,1,837689.2355,1,1,1,1,1,1,1
267.0783,11.83,489636.5496,408117.4978,448937.3093,1993308.08,1770608.484,1946008.676,321840.8011,612608.0001,294589.8472
453.2844,13.13,719317.077,402570.6571,547429.5846,117536.1801,63214.3246,94838.52391,1035501.175,1195163.406,610696.6476
886.4956,13.51,1,1,1,997082.9503,2771350.509,1791634.83,1,1,1
552.1838,3.86,2183950.464,2605909.967,2411365.017,2121765.157,2543909.086,2434223.373,1021252.575,1038785.414,732737.2506
177.0188,3.27,624022.8218,805204.9186,703196.0744,2412055.706,2464477.391,2438863.732,195708.4335,539771.7849,856682.2428
941.5742,13.18,2510599.701,1816012.376,2177435.753,1067567.986,1279139.648,1163124.061,1194932.524,1012441.421,1130877.959
918.4988,15.14,1,1,1,1,1,1,1,1,1
716.4791,5.28,2524631.34,2425776.601,2518667.358,2282516.233,1808500.262,2106004.417,1828515.465,1700055.421,1755171.218
565.3373,12.57,2468470.439,1722354.694,2062596.226,972348.0296,1147144.346,1083877.123,1347998.241,1532039.041,1198376.94
146.0696,0.88,1159621.255,929321.9357,1036745.771,1660885.537,2016881.781,1898310.407,1015453.99,802768.0291,672490.6999
378.1258,2.59,1,1,1,778443.8311,736510.5919,776028.6877,2237776.06,2438826.025,1888717.57
566.1993,4.77,1119887.726,1400660.599,1291696.085,2178077.25,2480303.469,2305564.617,524661.8733,862072.2874,1137160.725
992.5862,11.6,2297100.419,957783.3157,1703466.8,37159.53326,46639.55729,42071.77193,405555.6947,562407.2667,437794.7616
112.0163,1,105538.9905,12846.19977,109632.2486,167604.1229,672322.4383,445490.1572,224765.2868,97327.69892,53243.11318
394.2115,11.98,1,1,18551.97882,1947567.782,2336246.083,2130089.406,1,1,1094.539449
405.1123,0.92,888525.4017,837176.0267,818508.906,1210533.705,1511782.073,1604321.481,1455990.218,1656835.028,1716478.307
254.2243,14.2,220007.6174,729957.0221,289418.6444,1,147534.2437,207604.0336,1083159.373,943188.3966,1194726.605
979.5523,13.27,2367960.7,1267771.709,1862018.602,35802.20973,11895.45331,22475.95965,667268.8998,705689.6852,663689.9421
445.1438,7.34,1595740.461,1402040.429,1498178.801,1142380.251,957249.7147,981277.6883,1331663.795,1447000.995,2017189.262
406.1208,3.27,180439.4655,149421.5752,221115.2548,2106517.023,2016425.469,2007456.646,1306427.6,1661657.903,1896162.065
900.5285,15.29,98341.25062,94019.59025,104218.4095,1,1,1,1,1,1
