Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
460.3485,0.35,58121,56280,53600,50254,51383
461.0242,1.97,8284,13749,13760,13569,15989
461.2942,0.37,33430,40661,39273,38278,32838
462.0067,1.73,8759,10135,10207,10534,10038
462.2609,0.38,260230,277093,268492,297985,271961
462.3711,0.36,15164,16637,17702,14408,15256
463.1083,2.22,16526,18865,19310,21381,21914
463.1851,1.35,17329,17503,18010,18256,16301
464.9189,2.87,6179,6527,5802,6297,5123
465.5274,0.57,179609,163330,171384,169131,151613
466.1131,2.21,6676,6805,5482,5908,6606
466.3492,0.37,23603,24484,23312,35067,21839
467.3012,1.08,81865,107997,98905,107919,82389
469.3612,0.37,35873,44745,44071,38484,41081
469.8757,2.88,4589,4295,4865,4537,5273
470.2778,0.37,15687,11880,15229,13513,15871
471.0477,1.81,7747,8087,6939,2911,5746
472.4242,1,99179,69760,92188,89459,87044
474.4397,0.87,128841,130682,127132,124844,109806
